"UMC","retrieval_date","euctr_name","total_unreported","total_reported","total_due","not_yet_due_trials","inconsistent_trials","total_trials"
"Leipzig","2023-05-18","leipzig-university",1,25,26,11,4,41
"Halle-Wittenberg","2023-05-18","martin-luther-university-halle-wittenberg",6,9,15,16,2,33
"Greifswald","2023-05-18","medical-university-greifswald",2,0,2,3,2,7
"Magdeburg","2023-05-18","otto-von-guericke-university-magdeburg",0,15,15,2,7,24
"Marburg","2023-05-18","philipps-university-marburg",1,8,9,5,5,19
"Bochum","2023-05-18","ruhr-university-bochum",3,1,4,10,1,15
"Aachen","2023-05-18","rwth-aachen-university",3,26,29,8,13,50
"Homburg","2023-05-18","saarland-university",3,0,3,8,0,11
"Schleswig-Holstein","2023-05-18","schleswig-holstein-university-hospital",6,4,10,16,5,31
"TU-München","2023-05-18","technical-university-of-munich",0,46,46,11,12,69
"Rostock","2023-05-18","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2023-05-18","university-duisburg-essen",7,7,14,17,6,37
"Erlangen","2023-05-18","university-erlangen-nuremberg",6,26,32,26,5,63
"Tübingen","2023-05-18","university-hospital-tubingen",3,34,37,28,4,69
"Bonn","2023-05-18","university-of-bonn",5,14,19,8,2,29
"Köln","2023-05-18","university-of-cologne",3,45,48,33,1,82
"Freiburg","2023-05-18","university-of-freiburg",3,23,26,24,3,53
"Giessen","2023-05-18","university-of-giessen",0,3,3,4,3,10
"Göttingen","2023-05-18","university-of-gottingen",3,14,17,6,3,26
"Hamburg","2023-05-18","university-of-hamburg",1,27,28,28,0,56
"LMU-München","2023-05-18","university-of-munich-ludwig-maximilians",11,37,48,28,6,82
"Münster","2023-05-18","university-of-munster",3,22,25,13,1,39
"Regensburg","2023-05-18","university-of-regensburg",2,11,13,11,8,32
"Ulm","2023-05-18","university-of-ulm",10,14,24,18,4,46
"Witten/Herdecke","2023-05-18","university-of-wittenherdecke",1,0,1,4,1,6
"Mannheim","2023-06-20","central-institute-of-mental-health-in-mannheim",1,1,2,8,0,10
"Berlin","2023-06-20","charite-universitatsmedizin-berlin",3,158,161,46,6,213
"Dresden","2023-06-20","dresden-university-of-technology",4,25,29,15,5,49
"Jena","2023-06-20","friedrich-schiller-university-jena",7,5,12,9,5,26
"Frankfurt","2023-06-20","goethe-university",6,13,19,29,2,50
"Hannover","2023-06-20","hannover-medical-school",21,24,45,7,6,58
"Heidelberg","2023-06-20","heidelberg-university-hospital",4,34,38,28,2,68
"Düsseldorf","2023-06-20","heinrich-heine-university-dusseldorf",2,5,7,3,4,14
"Mainz","2023-06-20","johannes-gutenberg-university-of-mainz",11,25,36,12,5,53
"Würzburg","2023-06-20","julius-maximilian-university-of-wurzburg",1,9,10,14,5,29
"Leipzig","2023-06-20","leipzig-university",1,25,26,11,4,41
"Halle-Wittenberg","2023-06-20","martin-luther-university-halle-wittenberg",6,9,15,16,2,33
"Greifswald","2023-06-20","medical-university-greifswald",2,0,2,3,2,7
"Magdeburg","2023-06-20","otto-von-guericke-university-magdeburg",0,15,15,2,7,24
